Ref,Oxy ID,Status,First,Last,Preferred,Preferred Gender Pronouns optional,Oxy_Major,Minors_Spec_Prepro_Programs
289410775,A01208830,First Year,Valentin,Todd,Valentin,,"Cognitive Science, Music, Psychology","Linguistics Minor, Neuroscience Minor"
206933662,A01208997,First Year,Marley,Lee,Marley,,"Cognitive Science, Philosophy, Psychology","Environmental Science Concentration (Biology or Geology), Linguistics Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
968964792,A01208988,First Year,Nathanael,Murphy,Nathanael,,"Cognitive Science, Politics, Psychology","Gender, Women, and Sexuality Studies Minor, Neuroscience Minor"
64206835,A01209018,First Year,Leroy,Tucker,Leroy,,"Cognitive Science, Psychology",Neuroscience Minor
585043870,A01208028,First Year,Stephen,Kim,Stephen,,"Cognitive Science, Psychology, Sociology","Gender, Women, and Sexuality Studies Minor, Linguistics Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
360140284,A01208639,First Year,George,Petty,George,She/Her/Hers,"Cognitive Science, Psychology, Sociology","Education Minor, Linguistics Minor, Neuroscience Minor"
436229008,A01212140,First Year,Rylee,Mata,Rylee,,"Cognitive Science, Psychology, Spanish","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
703156944,A01199009,First Year,Kaleigh,Snyder,Kaleigh,,"Cognitive Science, Theater",Neuroscience Minor
92010125,A01212326,First Year,Isabelle,Hahn,Isabelle,,"Comparative Studies in Literature & Culture, Critical Theory & Social Justice, Diplomacy & World Affairs","Education Minor, Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor, Linguistics Minor"
104416243,A01211780,First Year,Mike,Freeman,Mike,,"Comparative Studies in Literature & Culture, Critical Theory & Social Justice, English",Interdisciplinary Writing Minor
893250493,A01208372,First Year,Tiffany,Foster,Tiffany,,"Comparative Studies in Literature & Culture, Critical Theory & Social Justice, Theater",Interdisciplinary Writing Minor
500694573,A01208457,First Year,Tyson,Cobb,Tyson,,"Comparative Studies in Literature & Culture, Diplomacy & World Affairs, English","Environmental Science Concentration (Biology or Geology), Pre-Law Advising"
36453033,A01206886,First Year,Rodolfo,Dorsey,Rodolfo,,"Comparative Studies in Literature & Culture, Diplomacy & World Affairs, Media Arts & Culture",Pre-Law Advising
723542213,A01207328,First Year,Darius,Kelley,Darius,,"Comparative Studies in Literature & Culture, Diplomacy & World Affairs, Politics","Classical Studies Minor, Interdisciplinary Writing Minor, Pre-Law Advising"
669609411,A01208172,First Year,June,Green,June,,"Comparative Studies in Literature & Culture, East Asian Studies, English",Interdisciplinary Writing Minor
348357036,A01207527,First Year,Belen,Hughes,Belen,,"Comparative Studies in Literature & Culture, Economics, Media Arts & Culture",
154607176,A01196348,First Year,Reagan,Meadows,Reagan,she/her/hers,"Comparative Studies in Literature & Culture, English, Politics",
5132164,A01206593,First Year,Ali,Cline,Ali,,"Comparative Studies in Literature & Culture, English, Psychology","3/2 Engineering Program (with CalTech or Columbia), Education Minor, Pre-Law Advising"
524008644,A01206781,First Year,Carson,Richard,Carson,,"Comparative Studies in Literature & Culture, English, Theater",Education Minor
950012967,A01206730,First Year,Roy,Meyers,Roy,,"Comparative Studies in Literature & Culture, Politics, Spanish",Environmental Science Concentration (Biology or Geology)
73018411,A01208809,First Year,Rodney,Allen,Rodney,"she, her",Computer Science,"3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Interdisciplinary Writing Minor, Neuroscience Minor, Pre-Law Advising"
355209131,A01206650,First Year,Cristofer,Reynolds,Cristofer,,Critical Theory & Social Justice,Pre-Law Advising
472518202,A01210150,First Year,Mathias,Oneal,Mathias,,"Critical Theory & Social Justice, Diplomacy & World Affairs",Pre-Law Advising
286949506,A01207803,First Year,Brenda,Nelson,Brenda,,"Critical Theory & Social Justice, Diplomacy & World Affairs, Economics","Classical Studies Minor, Neuroscience Minor, Pre-Law Advising"
235640695,A01213235,First Year,Aiden,Powers,Aiden,,"Critical Theory & Social Justice, Diplomacy & World Affairs, Group Language","Gender, Women, and Sexuality Studies Minor, German Minor, Interdisciplinary Writing Minor, Linguistics Minor, Pre-Law Advising"
650368793,A01207742,First Year,Gia,Sanchez,Gia,her/she,"Critical Theory & Social Justice, Diplomacy & World Affairs, History","Interdisciplinary Writing Minor, Pre-Law Advising"
944935452,A01210580,First Year,Armando,Brewer,Armando,,"Critical Theory & Social Justice, Diplomacy & World Affairs, Media Arts & Culture","Interdisciplinary Writing Minor, Pre-Law Advising"
81447791,A01211832,First Year,Jordyn,Alexander,Jordyn,,"Critical Theory & Social Justice, Diplomacy & World Affairs, Politics","Pre-Law Advising, Public Health Minor"
385988872,A01206711,First Year,Nia,Landry,Nia,,"Critical Theory & Social Justice, Diplomacy & World Affairs, Politics","Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor, Public Health Minor"
854213990,A01213828,First Year,Simon,Flores,Simon,She/ Her,"Critical Theory & Social Justice, Diplomacy & World Affairs, Politics",Pre-Law Advising
914669926,A01206829,First Year,Deon,Gregory,Deon,She/Her/Hers,"Critical Theory & Social Justice, Diplomacy & World Affairs, Psychology",Pre-Law Advising
594529070,A01206686,First Year,Nash,Garrison,Nash,She/Her/Hers,"Critical Theory & Social Justice, Diplomacy & World Affairs, Psychology","Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
40369880,A01206864,First Year,Jamiya,Gibson,Jamiya,Her,"Critical Theory & Social Justice, Diplomacy & World Affairs, Sociology",
177094320,A01209440,First Year,Abram,Powell,Abram,,"Critical Theory & Social Justice, Diplomacy & World Affairs, Urban & Environmental Policy",Public Health Minor
54191992,A01206809,First Year,Paxton,Horne,Paxton,,"Critical Theory & Social Justice, Diplomacy & World Affairs, Urban & Environmental Policy","Classical Studies Minor, Gender, Women, and Sexuality Studies Minor, Linguistics Minor, Public Health Minor"
59128788,A01209752,First Year,Jonathan,Wolfe,Jonathan,,"Critical Theory & Social Justice, Diplomacy & World Affairs, Urban & Environmental Policy",Environmental Science Concentration (Biology or Geology)
34084111,A01209871,First Year,Caden,Farley,Caden,,"Critical Theory & Social Justice, Diplomacy & World Affairs, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
429287735,A01210377,First Year,Bryan,Sanford,Bryan,She/Her,"Critical Theory & Social Justice, Economics, Politics","Gender, Women, and Sexuality Studies Minor, Pre-Law Advising"
569370413,A01196384,First Year,Chloe,Haney,Chloe,,"Critical Theory & Social Justice, Economics, Psychology","Gender, Women, and Sexuality Studies Minor"
756307275,A01213143,First Year,Karma,Frost,Karma,,"Critical Theory & Social Justice, Economics, Sociology","Computer Science Minor, Education Minor, Gender, Women, and Sexuality Studies Minor"
91167682,A01211943,First Year,Jakob,Horn,Jakob,she/her/hers,"Critical Theory & Social Justice, Economics, Sociology","Pre-Law Advising, Public Health Minor"
16430777,A01212991,First Year,Matias,Hobbs,Matias,,"Critical Theory & Social Justice, English, Media Arts & Culture",
746233552,A01207858,First Year,Osvaldo,Rhodes,Osvaldo,,"Critical Theory & Social Justice, English, Politics",Pre-Law Advising
704391851,A01210624,First Year,Cordell,Compton,Cordell,,"Critical Theory & Social Justice, English, Spanish","Education Minor, Gender, Women, and Sexuality Studies Minor"
229890792,A01212445,First Year,Reid,Ibarra,Reid,,"Critical Theory & Social Justice, Latino/a and Latin American Studies, Media Arts & Culture","Education Minor, Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor, Public Health Minor"
602290551,A01211432,First Year,Alden,Pace,Alden,,"Critical Theory & Social Justice, Latino/a and Latin American Studies, Politics","Gender, Women, and Sexuality Studies Minor, Pre-Law Advising"
707139357,A01206810,First Year,Jaydan,Garner,Jaydan,,"Critical Theory & Social Justice, Media Arts & Culture, Politics",Pre-Law Advising
539431934,A01209463,First Year,Lilianna,Stein,Lilianna,They,"Critical Theory & Social Justice, Media Arts & Culture, Politics","3/2 Engineering Program (with CalTech or Columbia), Pre-Law Advising"
56104017,A01206768,Transfer,Gunnar,Johns,Gunnar,,"Critical Theory & Social Justice, Media Arts & Culture, Sociology","Gender, Women, and Sexuality Studies Minor"
109924783,A01206754,First Year,Killian,Lane,Killian,,"Critical Theory & Social Justice, Media Arts & Culture, Urban & Environmental Policy","Education Minor, Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor"
585395611,A01208533,First Year,Cesar,Esparza,Cesar,she/her/hers,"Critical Theory & Social Justice, Philosophy, Psychology","Gender, Women, and Sexuality Studies Minor, Neuroscience Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)"
590168774,A01213324,First Year,Clay,Atkinson,Clay,,"Critical Theory & Social Justice, Physics, Urban & Environmental Policy","3/2 Engineering Program (with CalTech or Columbia), Education Minor, Environmental Science Concentration (Biology or Geology)"
536398400,A01209577,First Year,Brisa,Miranda,Brisa,,"Critical Theory & Social Justice, Politics","Gender, Women, and Sexuality Studies Minor, Pre-Law Advising"
438451993,A01207012,First Year,Elise,Marks,Elise,,"Critical Theory & Social Justice, Politics","Classical Studies Minor, Environmental Science Concentration (Biology or Geology), Gender, Women, and Sexuality Studies Minor, German Minor, Pre-Law Advising"
79913738,A01208032,First Year,Vicente,Chung,Vicente,,"Critical Theory & Social Justice, Politics, Psychology","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
942793199,A01212300,First Year,Marcus,Carey,Marcus,She/Her,"Critical Theory & Social Justice, Politics, Psychology","Education Minor, Pre-Law Advising"
424450175,A01200597,First Year,Samuel,Nunez,Samuel,,"Critical Theory & Social Justice, Politics, Sociology","Gender, Women, and Sexuality Studies Minor, Pre-Law Advising"
647806997,A01210490,First Year,Hannah,Francis,Hannah,,"Critical Theory & Social Justice, Politics, Sociology",
742506061,A01208193,First Year,Jenny,Rocha,Jenny,,"Critical Theory & Social Justice, Politics, Theater","Gender, Women, and Sexuality Studies Minor, Pre-Law Advising"
968986552,A01208213,First Year,Leilani,Jacobson,Leilani,,"Critical Theory & Social Justice, Politics, Urban & Environmental Policy","Gender, Women, and Sexuality Studies Minor, Pre-Law Advising"
64304972,A01208890,First Year,Maritza,Spencer,Maritza,,"Critical Theory & Social Justice, Psychology, Sociology","Gender, Women, and Sexuality Studies Minor, Public Health Minor"
888752015,A01208942,First Year,Ariella,Wheeler,Ariella,,"Critical Theory & Social Justice, Psychology, Sociology","Gender, Women, and Sexuality Studies Minor"
480754628,A01210341,First Year,Kyleigh,Parrish,Kyleigh,She/Her,"Critical Theory & Social Justice, Psychology, Urban & Environmental Policy","Gender, Women, and Sexuality Studies Minor"
659279646,A01208185,First Year,Allison,Irwin,Allison,,"Critical Theory & Social Justice, Sociology","Computer Science Minor, Environmental Science Concentration (Biology or Geology), Gender, Women, and Sexuality Studies Minor, Linguistics Minor"
56496010,A01206356,First Year,Kristopher,Eaton,Kristopher,,"Critical Theory & Social Justice, Sociology, Urban & Environmental Policy",Education Minor
784773409,A01209552,First Year,Warren,Soto,Warren,,"Critical Theory & Social Justice, Sociology, Urban & Environmental Policy","Gender, Women, and Sexuality Studies Minor"
713702850,A01207245,First Year,Devyn,Riddle,Devyn,,"Critical Theory & Social Justice, Sociology, Urban & Environmental Policy","Education Minor, Gender, Women, and Sexuality Studies Minor, Pre-Law Advising"
331916418,A01209506,First Year,Gianni,Klein,Gianni,,"Critical Theory & Social Justice, Spanish, Urban & Environmental Policy","Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor, Neuroscience Minor"
2507957,A01212091,First Year,Cierra,Merritt,Cierra,,"Critical Theory & Social Justice, Spanish, Urban & Environmental Policy",Public Health Minor
893994707,A01212745,First Year,Justine,Bates,Justine,,"Critical Theory & Social Justice, Spanish, Urban & Environmental Policy","3/2 Engineering Program (with CalTech or Columbia), Pre-Law Advising"
374278683,A01209934,First Year,Zaria,Brandt,Zaria,,"Critical Theory & Social Justice, Spanish, Urban & Environmental Policy","Gender, Women, and Sexuality Studies Minor, Linguistics Minor"
728085757,A01210840,Transfer,Kymani,Stephens,Kymani,,Diplomacy & World Affairs,"Education Minor, German Minor, Public Health Minor"
980934383,A01207992,First Year,Noe,Kane,Noe,,Diplomacy & World Affairs,"Computer Science Minor, Education Minor, Environmental Science Concentration (Biology or Geology)"
402098314,A01206838,First Year,Gaige,Strickland,Gaige,,Diplomacy & World Affairs,Computer Science Minor
99670694,A01208022,First Year,Gretchen,Hale,Gretchen,,"Diplomacy & World Affairs, East Asian Studies, French","Education Minor, Interdisciplinary Writing Minor, Linguistics Minor, Pre-Law Advising"
466266636,A01206881,First Year,Elsa,Sharp,Elsa,,"Diplomacy & World Affairs, East Asian Studies, Group Language","Education Minor, Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor, Linguistics Minor, Public Health Minor"
118058309,A01212473,First Year,Aron,Gilmore,Aron,,"Diplomacy & World Affairs, East Asian Studies, Politics","Interdisciplinary Writing Minor, Pre-Law Advising"
283345660,A01211883,First Year,Dillon,Ponce,Dillon,She/They,"Diplomacy & World Affairs, Economics",3/2 Engineering Program (with CalTech or Columbia)
581718172,A01208641,First Year,Angela,Fitzgerald,Angela,she/her,"Diplomacy & World Affairs, Economics",Education Minor
54579059,A01207262,First Year,Lexi,Spears,Lexi,,"Diplomacy & World Affairs, Economics",
254911300,A01208710,First Year,Yuliana,Baker,Yuliana,,"Diplomacy & World Affairs, Economics",
469708484,A01206885,First Year,Paulina,Clarke,Paulina,,"Diplomacy & World Affairs, Economics, Mathematics","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
558377919,A01210187,First Year,Isaac,Rollins,Isaac,,"Diplomacy & World Affairs, Economics, Mathematics","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor"
202046633,A01208599,First Year,Jacqueline,Erickson,Jacqueline,,"Diplomacy & World Affairs, Economics, Media Arts & Culture",Computer Science Minor
683798932,A01211497,First Year,Porter,Logan,Porter,,"Diplomacy & World Affairs, Economics, Music",Pre-Law Advising
860209274,A01209775,First Year,Kobe,Gallegos,Kobe,,"Diplomacy & World Affairs, Economics, Politics","Computer Science Minor, Pre-Law Advising"
443487835,A01210664,First Year,Bella,Wilkins,Bella,,"Diplomacy & World Affairs, Economics, Politics",
446160910,A01207299,First Year,Zaid,Blackwell,Zaid,,"Diplomacy & World Affairs, Economics, Politics",Pre-Law Advising
828597647,A01209685,First Year,Joseph,Hawkins,Joseph,,"Diplomacy & World Affairs, Economics, Politics",3/2 Engineering Program (with CalTech or Columbia)
104922547,A01207031,First Year,Hezekiah,Jennings,Hezekiah,,"Diplomacy & World Affairs, Economics, Politics",
930286166,A01209660,First Year,Kaya,Pacheco,Kaya,,"Diplomacy & World Affairs, Economics, Sociology",Pre-Law Advising
534606552,A01212411,First Year,Harley,Hunt,Harley,,"Diplomacy & World Affairs, Economics, Spanish",
365647824,A01207791,Transfer,Talan,Walton,Talan,,"Diplomacy & World Affairs, Economics, Urban & Environmental Policy",Computer Science Minor
574121416,A01206763,First Year,Zackery,Davenport,Zackery,,"Diplomacy & World Affairs, Economics, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Public Health Minor"
193168726,A01208572,First Year,Blake,Ewing,Blake,male,"Diplomacy & World Affairs, Economics, Urban & Environmental Policy",Pre-Law Advising
446117823,A01206821,First Year,Muhammad,Hudson,Muhammad,,"Diplomacy & World Affairs, English, Media Arts & Culture","Environmental Science Concentration (Biology or Geology), Interdisciplinary Writing Minor"
388563889,A01207643,First Year,Jesse,Galloway,Jesse,she/her/hers,"Diplomacy & World Affairs, English, Politics","Interdisciplinary Writing Minor, Pre-Law Advising"
264205507,A01208780,First Year,Skyler,Sanders,Skyler,,"Diplomacy & World Affairs, English, Politics",Pre-Law Advising
750216589,A01211245,First Year,Mckinley,Mills,Mckinley,,"Diplomacy & World Affairs, English, Politics",Pre-Law Advising
114852437,A01208664,First Year,Lydia,Anderson,Lydia,,"Diplomacy & World Affairs, English, Theater",Education Minor
632864757,A01208962,First Year,Phoenix,Huang,Phoenix,he/him/his,"Diplomacy & World Affairs, English, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Interdisciplinary Writing Minor"
57735877,A01212100,First Year,Carleigh,Cruz,Carleigh,"she, her, hers","Diplomacy & World Affairs, French, Group Language","Education Minor, Linguistics Minor"
487338723,A01212816,First Year,Johan,Daugherty,Johan,,"Diplomacy & World Affairs, French, Media Arts & Culture","Gender, Women, and Sexuality Studies Minor, Pre-Law Advising"
693402487,A01211539,First Year,Ireland,Huber,Ireland,he/him,"Diplomacy & World Affairs, French, Politics","Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor, Pre-Law Advising"
300058462,A01206807,First Year,Colten,Alvarado,Colten,,"Diplomacy & World Affairs, Geology, Spanish","3/2 Engineering Program (with CalTech or Columbia), Classical Studies Minor, Computer Science Minor, Environmental Science Concentration (Biology or Geology), Linguistics Minor"
91743191,A01206792,First Year,Meghan,Ward,Meghan,,"Diplomacy & World Affairs, Group Language",Linguistics Minor
56522344,A01207199,First Year,Jaime,Braun,Jaime,,"Diplomacy & World Affairs, Group Language, Politics","Interdisciplinary Writing Minor, Pre-Law Advising"
969512987,A01206599,First Year,Tony,Pitts,Tony,,"Diplomacy & World Affairs, Group Language, Politics",Pre-Law Advising
846528354,A01210974,First Year,Cason,Sherman,Cason,,"Diplomacy & World Affairs, Group Language, Theater","3/2 Engineering Program (with CalTech or Columbia), Pre-Law Advising"
591947404,A01198628,First Year,Maurice,Hoffman,Maurice,Male,"Diplomacy & World Affairs, History",Classical Studies Minor
123970205,A01209405,First Year,Rory,Nolan,Rory,,"Diplomacy & World Affairs, History, Politics",Pre-Law Advising
928667125,A01210571,First Year,Jazlene,Barnes,Jazlene,,"Diplomacy & World Affairs, History, Politics","Computer Science Minor, Pre-Law Advising"
842015822,A01209549,First Year,Joey,Odom,Joey,he/him/his,"Diplomacy & World Affairs, History, Psychology",
21426026,A01207645,First Year,Precious,Krause,Precious,,"Diplomacy & World Affairs, Japanese, Politics","Gender, Women, and Sexuality Studies Minor, Linguistics Minor, Pre-Law Advising"
482904186,A01208175,First Year,Miriam,Lloyd,Miriam,,"Diplomacy & World Affairs, Japanese, Politics",
966866467,A01212358,First Year,Ivy,Blevins,Ivy,,"Diplomacy & World Affairs, Kinesiology, Psychology",
408719640,A01206855,First Year,Liberty,Sexton,Liberty,,"Diplomacy & World Affairs, Latino/a and Latin American Studies, Politics","Neuroscience Minor, Pre-Law Advising"
319327903,A01206705,First Year,Trenton,Stanton,Trenton,,"Diplomacy & World Affairs, Latino/a and Latin American Studies, Urban & Environmental Policy",Public Health Minor
666842811,A01211247,First Year,Alivia,Hensley,Alivia,,"Diplomacy & World Affairs, Media Arts & Culture",
121333192,A01207879,First Year,Grace,Rowe,Grace,,"Diplomacy & World Affairs, Media Arts & Culture, Politics",Linguistics Minor
85608183,A01213927,First Year,Zariah,Petersen,Zariah,,"Diplomacy & World Affairs, Philosophy, Politics","Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor, Pre-Law Advising"
792119080,A01208971,First Year,Chaim,Marquez,Chaim,She/Her,"Diplomacy & World Affairs, Philosophy, Politics",Pre-Law Advising
768521941,A01208429,First Year,Adrienne,Cole,Adrienne,,"Diplomacy & World Affairs, Philosophy, Politics","Linguistics Minor, Pre-Law Advising"
30464532,A01211779,First Year,Chanel,Conner,Chanel,,"Diplomacy & World Affairs, Politics",
101603171,A01212515,First Year,Deborah,Knox,Deborah,,"Diplomacy & World Affairs, Politics",Pre-Law Advising
45813793,A01207021,First Year,Alice,Bentley,Alice,She/her,"Diplomacy & World Affairs, Politics",Pre-Law Advising
238604113,A01207873,First Year,Colton,Lowe,Colton,she/her,"Diplomacy & World Affairs, Politics",Pre-Law Advising
536528914,A01210989,First Year,Krish,Carter,Krish,,"Diplomacy & World Affairs, Politics",Pre-Law Advising
108680020,A01206861,First Year,Seamus,Fowler,Seamus,,"Diplomacy & World Affairs, Politics","3/2 Engineering Program (with CalTech or Columbia), Pre-Law Advising"
765430229,A01207575,First Year,Ingrid,Briggs,Ingrid,,"Diplomacy & World Affairs, Politics","German Minor, Pre-Law Advising"
797613799,A01212292,First Year,Triston,Mayo,Triston,,"Diplomacy & World Affairs, Politics, Psychology",Pre-Law Advising
32949197,A01209907,First Year,Kamden,Middleton,Kamden,Male,"Diplomacy & World Affairs, Politics, Russian","Computer Science Minor, Interdisciplinary Writing Minor"
136286339,A01209460,First Year,Jaylynn,Simpson,Jaylynn,,"Diplomacy & World Affairs, Politics, Sociology",Pre-Law Advising
821816378,A01207221,First Year,Raymond,Joseph,Raymond,she/her/hers,"Diplomacy & World Affairs, Politics, Sociology","3/2 Engineering Program (with CalTech or Columbia), Pre-Law Advising"
742703044,A01197801,First Year,Nehemiah,Valentine,Nehemiah,,"Diplomacy & World Affairs, Politics, Sociology",Pre-Law Advising
6219210,A01206263,First Year,Jadiel,Mathis,Jadiel,,"Diplomacy & World Affairs, Politics, Spanish","Linguistics Minor, Pre-Law Advising"
3702193,A01210331,First Year,Leonard,Baldwin,Leonard,,"Diplomacy & World Affairs, Politics, Spanish",Pre-Law Advising
983902289,A01206644,First Year,Kallie,Vaughan,Kallie,,"Diplomacy & World Affairs, Politics, Spanish","Gender, Women, and Sexuality Studies Minor, Interdisciplinary Writing Minor, Linguistics Minor"
128953863,A01211038,First Year,Audrey,Cantrell,Audrey,,"Diplomacy & World Affairs, Politics, Theater","Environmental Science Concentration (Biology or Geology), German Minor, Linguistics Minor, Pre-Law Advising"
536375539,A01211047,First Year,Jarrett,Day,Jarrett,,"Diplomacy & World Affairs, Politics, Urban & Environmental Policy","Education Minor, Pre-Law Advising"
408368945,A01211598,First Year,Elisha,Evans,Elisha,she/her/hers,"Diplomacy & World Affairs, Politics, Urban & Environmental Policy",Pre-Law Advising
91027425,A01206368,First Year,Reed,Luna,Reed,,"Diplomacy & World Affairs, Politics, Urban & Environmental Policy","Interdisciplinary Writing Minor, Pre-Law Advising"
467307061,A01213380,First Year,Kade,Haley,Kade,,"Diplomacy & World Affairs, Politics, Urban & Environmental Policy",
173624557,A01194115,First Year,Talia,Riggs,Talia,she,"Diplomacy & World Affairs, Politics, Urban & Environmental Policy",Computer Science Minor
655970587,A01209025,First Year,Rowan,Coffey,Rowan,,"Diplomacy & World Affairs, Psychology, Sociology",Computer Science Minor
108404169,A01209255,Transfer,Tianna,Villanueva,Tianna,,"Diplomacy & World Affairs, Psychology, Spanish",
681836788,A01211717,First Year,Kathryn,Gibbs,Kathryn,,"Diplomacy & World Affairs, Spanish",Pre-Law Advising
157597267,A01209963,First Year,Wayne,Glover,Wayne,,"Diplomacy & World Affairs, Spanish",Public Health Minor
442211900,A01211982,First Year,Israel,Fernandez,Israel,,"Diplomacy & World Affairs, Spanish, Urban & Environmental Policy",Linguistics Minor
8591931,A01211435,First Year,Dashawn,Vance,Dashawn,,"Diplomacy & World Affairs, Theater",
932176031,A01199301,First Year,Tia,Kirk,Tia,,"Diplomacy & World Affairs, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
581158745,A01209095,First Year,Riya,Cross,Riya,he/him,"East Asian Studies, Japanese, Mathematics",Education Minor
190232452,A01208580,First Year,Jaelyn,Mcmahon,Jaelyn,,"East Asian Studies, Psychology, Urban & Environmental Policy",Education Minor
19079580,A01206323,First Year,Iyana,Morris,Iyana,She/Her,"East Asian Studies, Sociology, Spanish","Education Minor, Gender, Women, and Sexuality Studies Minor"
377125479,A01212734,Transfer,Anderson,Pruitt,Anderson,,Economics,Pre-Law Advising
158890213,A01208681,Transfer,Kaeden,Obrien,Kaeden,He,Economics,
683419398,A01208650,Transfer,Allan,Rowland,Allan,she her,Economics,Computer Science Minor
106797730,A01210804,First Year,Anna,Roy,Anna,,Economics,Computer Science Minor
91830455,A01211415,First Year,Holly,Grant,Holly,,Economics,Computer Science Minor
883508182,A01213244,First Year,Aliza,Bolton,Aliza,She/her,Economics,
606217705,A01206804,First Year,Lorena,Everett,Lorena,,Economics,Linguistics Minor
103145417,A01211309,First Year,Cooper,Hoover,Cooper,,Economics,"3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Neuroscience Minor, Pre-Law Advising"
105778552,A01206318,First Year,Luciana,Barton,Luciana,,Economics,"German Minor, Pre-Law Advising"
308711644,A01213918,First Year,Eliana,Lucero,Eliana,,Economics,3/2 Engineering Program (with CalTech or Columbia)
385291606,A01206879,First Year,Taniya,Butler,Taniya,,Economics,"Linguistics Minor, Pre-Law Advising"
561073275,A01213046,First Year,Darian,Bernard,Darian,,Economics,Environmental Science Concentration (Biology or Geology)
977617627,A01209363,First Year,Mya,Lozano,Mya,,Economics,"3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor"
967579322,A01209933,First Year,Karissa,Lucas,Karissa,,Economics,
867625106,A01212074,First Year,Luka,Hurley,Luka,she/her/hers,"Economics, English",Interdisciplinary Writing Minor
539693091,A01207592,First Year,Delaney,Brown,Delaney,,"Economics, English, History","Education Minor, Linguistics Minor"
422285798,A01209920,First Year,Ashly,Singh,Ashly,they/their/them,"Economics, English, Psychology",Pre-Law Advising
60385549,A01206586,First Year,Bria,Bowman,Bria,,"Economics, History",Pre-Law Advising
835167067,A01208819,First Year,Emery,Fletcher,Emery,,"Economics, History, Politics","Computer Science Minor, Linguistics Minor, Pre-Law Advising"
840922032,A01209491,First Year,Dana,Parks,Dana,,"Economics, History, Urban & Environmental Policy","Environmental Science Concentration (Biology or Geology), German Minor, Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Pre-Law Advising, Public Health Minor"
751140761,A01206795,First Year,Cloe,Novak,Cloe,he,"Economics, Kinesiology",Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields)
190746734,A01209319,First Year,Alanna,Hardin,Alanna,,"Economics, Kinesiology","Pre-Health Advising (for students who are interested in pursuing medicine or other health-related fields), Public Health Minor"
435373542,A01212617,First Year,Luna,Castaneda,Luna,she/her,"Economics, Kinesiology, Mathematics",Computer Science Minor
466367128,A01211341,First Year,Erik,Lopez,Erik,,"Economics, Kinesiology, Mathematics","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor"
836706448,A01212433,First Year,Abbigail,Zamora,Abbigail,,"Economics, Kinesiology, Psychology","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Neuroscience Minor"
738192192,A01212233,First Year,Jasmin,Calderon,Jasmin,,"Economics, Kinesiology, Psychology",Public Health Minor
210081065,A01206389,Transfer,Carina,Wade,Carina,,"Economics, Mathematics",Computer Science Minor
160715699,A01212165,First Year,Lyric,Larson,Lyric,,"Economics, Mathematics","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor"
78489621,A01206712,First Year,Susan,Gates,Susan,he/him/his,"Economics, Mathematics","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor"
243325337,A01211318,First Year,Eve,Snow,Eve,,"Economics, Mathematics",Computer Science Minor
952575557,A01206737,First Year,Nigel,Cuevas,Nigel,,"Economics, Mathematics",3/2 Engineering Program (with CalTech or Columbia)
574620346,A01206875,First Year,Rishi,Branch,Rishi,she/her/hers,"Economics, Mathematics, Physics","3/2 Engineering Program (with CalTech or Columbia), Computer Science Minor, Pre-Law Advising, Public Health Minor"
50013547,A01023330,First Year,Marvin,Kemp,Marvin,,"Economics, Media Arts & Culture",Pre-Law Advising
