Student's Name,Majors,Professor's Name,Departments,Previous Count, Current Count, Reason of Matching
Walton Talan,[Diplomacy & World Affairs AND  Economics AND  Urban & Environmental Policy],Gonzalez Thalia,Politics,4,7,[Professor currently only has (7) advisees],
Merritt Cierra,[Critical Theory & Social Justice AND  Spanish AND  Urban & Environmental Policy],Craney Chris,Chemistry,13,17,[Professor currently only has (17) advisees],
Stanton Trenton,[Diplomacy & World Affairs AND  Latino/a and Latin American Studies AND  Urban & Environmental Policy],Naimi Ramin,Mathematics,8,12,[Professor currently only has (12) advisees],
Boyer Cherish,[Economics AND  Media Arts & Culture AND  Psychology],Neti Leila,English,11,14,[Professor currently only has (14) advisees],
Kaufman Annabelle,[Undecided AND  Economics AND  Politics],Mora Jesse,Economics,11,15,[The student wants to major in the advisor's department (Economics);  Professor currently only has (15) advisees],
Macias Kiera,[Biology AND  Critical Theory & Social Justice AND  Urban & Environmental Policy],Wright Dale,Religious Studies,1,5,[Professor currently only has (5) advisees],
Rollins Isaac,[Diplomacy & World Affairs AND  Economics AND  Mathematics],Buckmire Ron,Mathematics,5,9,[The student wants to major in the advisor's department (Mathematics);  Professor currently only has (9) advisees],
Stark Brogan,[Undecided AND  Psychology AND  Sociology],Pondella Daniel,Biology,12,16,[Professor currently only has (16) advisees],
Logan Porter,[Diplomacy & World Affairs AND  Economics AND  Music],Udit Andrew,Chemistry,10,14,[Professor currently only has (14) advisees],
Huber Ireland,[Diplomacy & World Affairs AND  French AND  Politics],Rusmore Margaret,Geology,13,17,[Professor currently only has (17) advisees],
Duke Dean,[Media Arts & Culture],Lawrence Donald,Mathematics,5,9,[Professor currently only has (9) advisees],
Solomon Anya,[Biology AND  Diplomacy & World Affairs AND  History],Villa Raul,English,13,17,[Professor currently only has (17) advisees],
Schneider Dominik,[Biology AND  Critical Theory & Social Justice AND  Psychology],Gelbart Nina,History,4,8,[Professor currently only has (8) advisees],
Guerrero Yair,[Biochemistry AND  Biology],Richmond Walter,Comparative Studies in Literature & Culture,3,7,[Professor currently only has (7) advisees],
Cuevas Nigel,[Economics AND  Mathematics],Basu Treena,Mathematics,7,10,[The student wants to major in the advisor's department (Mathematics);  Professor currently only has (10) advisees],
Guzman Erika,[Undecided AND  Art & Art History AND  Media Arts & Culture],Baran Renee,Biology,16,19,Randomly matched,
Turner Abagail,[Economics AND  Media Arts & Culture AND  Theater],Griffin G.,Critical Theory & Social Justice,6,10,[Professor currently only has (10) advisees],
Oliver Lilian,[Economics AND  Philosophy AND  Urban & Environmental Policy],Jalil Andrew,Economics,14,18,[The student wants to major in the advisor's department (Economics);  Professor currently only has (18) advisees],
Dixon Jeffrey,[Latino/a and Latin American Studies],Frank Eric,Art & Art History,8,12,[Professor currently only has (12) advisees],
Lutz Victoria,[Undecided AND  Psychology],Tinberg Nalsey,Mathematics,14,18,[Professor currently only has (18) advisees],
Rich Kathy,[Biochemistry AND  Biology AND  Chemistry],Ezaki Motoko,East Asian Languages & Cultures,7,10,[Professor currently only has (10) advisees],
Osborne Jonah,[Undecided AND  Cognitive Science AND  Psychology],Ellis Robert,Spanish & French Studies,11,15,[Professor currently only has (15) advisees],
Chung Vicente,[Critical Theory & Social Justice AND  Politics AND  Psychology],Fett Sharla,History,11,15,[Professor currently only has (15) advisees],
Oneill Kinley,[Cognitive Science AND  Geology AND  Psychology],Saint-Aubin Arthur,Spanish & French Studies,3,7,[Professor currently only has (7) advisees],
Petersen Zariah,[Diplomacy & World Affairs AND  Philosophy AND  Politics],Lawrence Donald,Mathematics,5,9,[Professor currently only has (9) advisees],
Bush Will,[Media Arts & Culture AND  Psychology AND  Sociology],Schoenberg Adam,Music,10,13,[Professor currently only has (13) advisees],
Williamson Hugo,[Psychology AND  Sociology],Littlejohn Krystale,Sociology,9,13,[The student wants to major in the advisor's department (Sociology);  Professor currently only has (13) advisees],
Wyatt Ricky,[Undecided],Baker Courtney,American Studies,2,6,[Professor currently only has (6) advisees],
Moses Hayley,[Biology AND  Kinesiology],Zellmer McCormack Amanda,Biology,11,15,[The student wants to major in the advisor's department (Biology);  Professor currently only has (15) advisees],
Hood Parker,[Art & Art History AND  French AND  Media Arts & Culture],Guillen Felisa,Spanish & French Studies,3,7,[Professor currently only has (7) advisees],
Novak Cloe,[Economics AND  Kinesiology],Roberts Christian,Kinesiology,3,7,[The student wants to major in the advisor's department (Kinesiology);  Professor currently only has (7) advisees],
Herman Antony,[Politics],Linden Diana,Cognitive Science,4,8,[Professor currently only has (8) advisees],
Myers Byron,[Undecided],Sousa Lisa,History,7,11,[Professor currently only has (11) advisees],
Benitez Kareem,[Chinese AND  Diplomacy & World Affairs AND  Media Arts & Culture],de Fren Allison,Media Arts & Culture,12,16,[The student wants to major in the advisor's department (Media Arts & Culture);  Professor currently only has (16) advisees],
Yates Paola,[Economics AND  Philosophy AND  Politics],Studenmund A. Harwood,Economics,1,5,[The student wants to major in the advisor's department (Economics);  Professor currently only has (5) advisees],
Farrell Chris,[Biology AND  Cognitive Science],Braker H. Elizabeth,Biology,15,19,[The student wants to major in the advisor's department (Biology)],
Sullivan Ernesto,[Biology AND  Diplomacy & World Affairs AND  Media Arts & Culture],Besemer Linda,Art & Art History,11,15,[Professor currently only has (15) advisees],
Parrish Kyleigh,[Critical Theory & Social Justice AND  Psychology AND  Urban & Environmental Policy],Christianakis Mary,Critical Theory & Social Justice,10,14,[The student wants to major in the advisor's department (Critical Theory & Social Justice);  Professor currently only has (14) advisees],
Barnes Jazlene,[Diplomacy & World Affairs AND  History AND  Politics],Brighouse Carolyn,Philosophy,1,4,[Professor currently only has (4) advisees],
Glover Wayne,[Diplomacy & World Affairs AND  Spanish],Shelton Michael,Spanish & French Studies,9,12,[Professor currently only has (12) advisees],
Goodwin Allisson,[Mathematics],Lal Nishu,Mathematics,3,7,[The student wants to major in the advisor's department (Mathematics);  Professor currently only has (7) advisees],
Nielsen Elvis,[Biology AND  Diplomacy & World Affairs AND  Economics],Villa Raul,English,13,17,[Professor currently only has (17) advisees],
Barnett Eli,[Group Language AND  Japanese AND  Mathematics],Lawrence Donald,Mathematics,5,9,[The student wants to major in the advisor's department (Mathematics);  Professor currently only has (9) advisees],
Nolan Rory,[Diplomacy & World Affairs AND  History AND  Politics],Puerto Alexandra,History,10,14,[The student wants to major in the advisor's department (History);  Professor currently only has (14) advisees],
Ryan Tania,[Undecided AND  Media Arts & Culture AND  Urban & Environmental Policy],McCormack John,Biology,11,15,[Professor currently only has (15) advisees],
Jennings Hezekiah,[Diplomacy & World Affairs AND  Economics AND  Politics],Djerdjian Daron,Economics,14,18,[The student wants to major in the advisor's department (Economics);  Professor currently only has (18) advisees],
Ward Meghan,[Diplomacy & World Affairs AND  Group Language],Chase Anthony,Diplomacy & World Affairs,17,19,[The student wants to major in the advisor's department (Diplomacy & World Affairs)],
Berry Darien,[Biology AND  Cognitive Science AND  Psychology],Okumura Cheryl,Biology,7,11,[The student wants to major in the advisor's department (Biology);  Professor currently only has (11) advisees],
Sutton Raquel,[Undecided AND  Economics],Ford James,English,12,16,[Professor currently only has (16) advisees],
Rhodes Osvaldo,[Critical Theory & Social Justice AND  English AND  Politics],Newhall Eric,English,6,9,[The student wants to major in the advisor's department (English);  Professor currently only has (9) advisees],
Fry Gilberto,[Biochemistry],Craney Chris,Chemistry,13,17,[Professor currently only has (17) advisees],
Ballard Paityn,[American Studies AND  Art & Art History AND  Critical Theory & Social Justice],Naimi Ramin,Mathematics,8,12,[Professor currently only has (12) advisees],
Giles Jon,[Psychology],Lerner Ross,English,9,12,[Professor currently only has (12) advisees],
Freeman Mike,[Comparative Studies in Literature & Culture AND  Critical Theory & Social Justice AND  English],Schell Anne,Psychology,1,4,[Professor currently only has (4) advisees],
Pace Alden,[Critical Theory & Social Justice AND  Latino/a and Latin American Studies AND  Politics],Gelbart Nina,History,4,8,[Professor currently only has (8) advisees],
Montoya Payton,[Kinesiology AND  Psychology],Fineman Daniel,English,10,14,[Professor currently only has (14) advisees],
Burton Sylvia,[Undecided],George Roger,Politics,1,4,[Professor currently only has (4) advisees],
Cobb Tyson,[Comparative Studies in Literature & Culture AND  Diplomacy & World Affairs AND  English],Pondella Daniel,Biology,12,16,[Professor currently only has (16) advisees],
Carey Marcus,[Critical Theory & Social Justice AND  Politics AND  Psychology],Chapman Clinton,Psychology,4,8,[The student wants to major in the advisor's department (Psychology);  Professor currently only has (8) advisees],
Sanchez Gia,[Critical Theory & Social Justice AND  Diplomacy & World Affairs AND  History],Prebel Julie,Writing & Rhetoric,8,12,[Professor currently only has (12) advisees],
Callahan Finnegan,[Biochemistry AND  Biology AND  Chemistry],Mithlo Nancy Marie,Art & Art History,2,6,[Professor currently only has (6) advisees],
Grant Holly,[Economics],Shearer Derek,Diplomacy & World Affairs,9,13,[Professor currently only has (13) advisees],
Pruitt Anderson,[Economics],Lang John,Sociology,5,9,[Professor currently only has (9) advisees],
Sampson Reese,[Undecided],Cannon Jeffrey,Chemistry,12,16,[Professor currently only has (16) advisees],
Day Jarrett,[Diplomacy & World Affairs AND  Politics AND  Urban & Environmental Policy],Miller Jeffrey,Computer Science,9,13,[Professor currently only has (13) advisees],
Hartman Van,[Economics AND  Media Arts & Culture AND  Urban & Environmental Policy],Blythe Ann,Geology,10,14,[Professor currently only has (14) advisees],
Hensley Alivia,[Diplomacy & World Affairs AND  Media Arts & Culture],Ezaki Motoko,East Asian Languages & Cultures,7,10,[Professor currently only has (10) advisees],
Mcneil Daniela,[Undecided],Moazzam-Doulat Malek,Religious Studies,2,6,[Professor currently only has (6) advisees],
Floyd Deegan,[French AND  Mathematics],Eggleston Dennis,Physics,8,12,[Professor currently only has (12) advisees],
Bradley Bronson,[Psychology],Brighouse Carolyn,Philosophy,1,4,[Professor currently only has (4) advisees],
Ramirez Kash,[Cognitive Science AND  Kinesiology],Heffernan Mary Beth,Art & Art History,8,12,[Professor currently only has (12) advisees],
Bautista Cory,[Art & Art History AND  Economics],Buckmire Ron,Mathematics,5,9,[Professor currently only has (9) advisees],
Mccoy Destinee,[Biology AND  Economics AND  Politics],Baran Renee,Biology,16,19,[The student wants to major in the advisor's department (Biology)],
Conner Chanel,[Diplomacy & World Affairs AND  Politics],Schmiedeshoff George,Physics,10,14,[Professor currently only has (14) advisees],
Garner Jaydan,[Critical Theory & Social Justice AND  Media Arts & Culture AND  Politics],Solorzano Ronald,Education,7,10,[Professor currently only has (10) advisees],
Nunez Samuel,[Critical Theory & Social Justice AND  Politics AND  Sociology],Snowden-Ifft Daniel,Physics,8,12,[Professor currently only has (12) advisees],
Kelley Darius,[Comparative Studies in Literature & Culture AND  Diplomacy & World Affairs AND  Politics],Djerdjian Daron,Economics,14,18,[Professor currently only has (18) advisees],
Morrow Heaven,[Biochemistry AND  Biology AND  Chemistry],Lopez Adelaida,Spanish & French Studies,10,14,[Professor currently only has (14) advisees],
Shields Davian,[Theater],Fox Broderick,Media Arts & Culture,16,19,Randomly matched,
Bryant Mariela,[Chemistry AND  Mathematics],Hill Michael,Chemistry,11,15,[The student wants to major in the advisor's department (Chemistry);  Professor currently only has (15) advisees],
Parker Athena,[Biology AND  Urban & Environmental Policy],Goffredi Shana,Biology,12,15,[The student wants to major in the advisor's department (Biology);  Professor currently only has (15) advisees],
Cervantes Aimee,[Biology AND  Kinesiology AND  Urban & Environmental Policy],Zellmer McCormack Amanda,Biology,11,15,[The student wants to major in the advisor's department (Biology);  Professor currently only has (15) advisees],
Vang Martha,[Mathematics AND  Physics AND  Politics],Knoerr Alan,Mathematics,2,6,[The student wants to major in the advisor's department (Mathematics);  Professor currently only has (6) advisees],
Stephenson Cael,[Biology AND  English AND  Sociology],Trevizo Dolores,Sociology,1,5,[The student wants to major in the advisor's department (Sociology);  Professor currently only has (5) advisees],
Ware Sanaa,[Undecided AND  Cognitive Science AND  Economics],Saint-Aubin Arthur,Spanish & French Studies,3,7,[Professor currently only has (7) advisees],
Arias Miranda,[Chemistry AND  Mathematics],Sabo William,Philosophy,6,10,[Professor currently only has (10) advisees],
Bowen Jamarcus,[English AND  Media Arts & Culture],Montag Warren,English,13,16,[The student wants to major in the advisor's department (English);  Professor currently only has (16) advisees],
Gay Georgia,[Art & Art History AND  Comparative Studies in Literature & Culture AND  Critical Theory & Social Justice],Buckmire Ron,Mathematics,5,9,[Professor currently only has (9) advisees],
Rocha Jenny,[Critical Theory & Social Justice AND  Politics AND  Theater],Newhall Eric,English,6,9,[Professor currently only has (9) advisees],
Cardenas Alfonso,[Biology AND  Diplomacy & World Affairs AND  Politics],Ashenmiller Bevin,Economics,10,14,[Professor currently only has (14) advisees],
Anderson Lydia,[Diplomacy & World Affairs AND  English AND  Theater],Lin Jan,Sociology,2,6,[Professor currently only has (6) advisees],
Ho Hadassah,[Mathematics AND  Physics AND  Spanish],Schramm Alec,Physics,3,7,[The student wants to major in the advisor's department (Physics);  Professor currently only has (7) advisees],
Todd Valentin,[Cognitive Science AND  Music AND  Psychology],North Gretchen,Biology,13,17,[Professor currently only has (17) advisees],
Bates Justine,[Critical Theory & Social Justice AND  Spanish AND  Urban & Environmental Policy],Villa Raul,English,13,17,[Professor currently only has (17) advisees],
Donaldson Maribel,[Media Arts & Culture AND  Psychology],Blythe Ann,Geology,10,14,[Professor currently only has (14) advisees],
Short Aleah,[French AND  Media Arts & Culture AND  Theater],Meade Laural,Theater,8,12,[The student wants to major in the advisor's department (Theater);  Professor currently only has (12) advisees],
Simpson Jaylynn,[Diplomacy & World Affairs AND  Politics AND  Sociology],Guillen Felisa,Spanish & French Studies,3,7,[Professor currently only has (7) advisees],
Gibbs Kathryn,[Diplomacy & World Affairs AND  Spanish],Larsen Darren,Geology,3,6,[Professor currently only has (6) advisees],
Christensen Rose,[Biology AND  Politics AND  Urban & Environmental Policy],Heldman Caroline,Politics,13,17,[The student wants to major in the advisor's department (Politics);  Professor currently only has (17) advisees],
Cameron Julissa,[Art & Art History AND  Diplomacy & World Affairs AND  Urban & Environmental Policy],Moazzam-Doulat Malek,Religious Studies,2,6,[Professor currently only has (6) advisees],
Solis Lacey,[Biochemistry AND  Biology],Fineman Daniel,English,10,14,[Professor currently only has (14) advisees],
Barrett Desirae,[Cognitive Science AND  Media Arts & Culture AND  Psychology],Levitan Carmel,Cognitive Science,14,18,[The student wants to major in the advisor's department (Cognitive Science);  Professor currently only has (18) advisees],
Schmitt Yasmin,[Undecided AND  English AND  Urban & Environmental Policy],Freas Debra,Comparative Studies in Literature & Culture,10,14,[Professor currently only has (14) advisees],
Trevino Emily,[Biochemistry],Scheel Janet,Physics,18,19,Randomly matched,
Soto Warren,[Critical Theory & Social Justice AND  Sociology AND  Urban & Environmental Policy],Dreier Peter,Urban & Environmental Policy,14,18,[The student wants to major in the advisor's department (Urban & Environmental Policy);  Professor currently only has (18) advisees],
Moyer Serenity,[Cognitive Science AND  Diplomacy & World Affairs AND  Politics],Kozinn Sarah,Theater,9,13,[Professor currently only has (13) advisees],
Santana Octavio,[Mathematics],Upson-Saia Kristi,Religious Studies,13,17,[Professor currently only has (17) advisees],
Newton Aracely,[Mathematics],Lal Nishu,Mathematics,3,7,[The student wants to major in the advisor's department (Mathematics);  Professor currently only has (7) advisees],
Diaz Aleena,[History AND  Media Arts & Culture AND  Politics],Fett Sharla,History,11,15,[The student wants to major in the advisor's department (History);  Professor currently only has (15) advisees],
Bentley Alice,[Diplomacy & World Affairs AND  Politics],Ear Sophal,Diplomacy & World Affairs,17,19,[The student wants to major in the advisor's department (Diplomacy & World Affairs)],
Baker Yuliana,[Diplomacy & World Affairs AND  Economics],Khagram Sanjeev,Diplomacy & World Affairs,14,17,[The student wants to major in the advisor's department (Diplomacy & World Affairs);  Professor currently only has (17) advisees],
Villegas Janet,[History AND  Sociology AND  Spanish],Upson-Saia Kristi,Religious Studies,13,17,[Professor currently only has (17) advisees],
Walters Damien,[Art & Art History AND  English AND  Philosophy],Zellmer McCormack Amanda,Biology,11,15,[Professor currently only has (15) advisees],
Meyers Roy,[Comparative Studies in Literature & Culture AND  Politics AND  Spanish],Homiak Marcia,Philosophy,1,5,[Professor currently only has (5) advisees],
Gibson Jamiya,[Critical Theory & Social Justice AND  Diplomacy & World Affairs AND  Sociology],Grayson Susan,Spanish & French Studies,10,14,[Professor currently only has (14) advisees],
Olson Dakota,[Media Arts & Culture AND  Philosophy AND  Physics],Homiak Marcia,Philosophy,1,5,[The student wants to major in the advisor's department (Philosophy);  Professor currently only has (5) advisees],
Contreras Jayden,[English AND  Media Arts & Culture AND  Psychology],Rusmore Margaret,Geology,13,17,[Professor currently only has (17) advisees],
Reyes Maddison,[Biochemistry AND  Biology],North Gretchen,Biology,13,17,[The student wants to major in the advisor's department (Biology);  Professor currently only has (17) advisees],
Lambert Hailie,[Biochemistry AND  Biology AND  Kinesiology],Puerto Alexandra,History,10,14,[Professor currently only has (14) advisees],
Lucero Eliana,[Economics],Lyke Linda,Art & Art History,9,12,[Professor currently only has (12) advisees],
Jenkins Mathew,[Kinesiology],Lang John,Sociology,5,9,[Professor currently only has (9) advisees],
Castro Allie,[Cognitive Science AND  Comparative Studies in Literature & Culture AND  Religious Studies],Moazzam-Doulat Malek,Religious Studies,2,6,[The student wants to major in the advisor's department (Religious Studies);  Professor currently only has (6) advisees],
Bruce Rocco,[Biochemistry AND  Kinesiology AND  Physics],Lal Nishu,Mathematics,3,7,[Professor currently only has (7) advisees],
Hunter August,[Biology AND  Cognitive Science AND  Diplomacy & World Affairs],Roberts Christian,Kinesiology,3,7,[Professor currently only has (7) advisees],
Ortiz Darnell,[Biochemistry AND  Biology AND  Chemistry],Saint-Aubin Arthur,Spanish & French Studies,3,7,[Professor currently only has (7) advisees],
Garrett Marie,[Economics AND  Politics],Johnson Mary,Spanish & French Studies,9,13,[Professor currently only has (13) advisees],
Colon Kaia,[Politics AND  Psychology],Freer Regina,Politics,15,19,[The student wants to major in the advisor's department (Politics)],
Bass Neil,[Biology AND  English AND  Psychology],Lyford Amy,Art & Art History,8,12,[Professor currently only has (12) advisees],
Chase Alison,[Biology AND  Economics AND  Mathematics],Roberts Christian,Kinesiology,3,7,[Professor currently only has (7) advisees],
Michael Max,[Art & Art History AND  Critical Theory & Social Justice AND  Media Arts & Culture],Villa Raul,English,13,17,[Professor currently only has (17) advisees],
Hunt Harley,[Diplomacy & World Affairs AND  Economics AND  Spanish],Johnson Mary,Spanish & French Studies,9,13,[Professor currently only has (13) advisees],
Gregory Deon,[Critical Theory & Social Justice AND  Diplomacy & World Affairs AND  Psychology],Eggleston Dennis,Physics,8,12,[Professor currently only has (12) advisees],
Lucas Karissa,[Economics],Lukes Heather,Critical Theory & Social Justice,7,10,[Professor currently only has (10) advisees],
Stafford Halle,[Undecided AND  Diplomacy & World Affairs AND  Psychology],Lopez Adelaida,Spanish & French Studies,10,14,[Professor currently only has (14) advisees],
Fernandez Israel,[Diplomacy & World Affairs AND  Spanish AND  Urban & Environmental Policy],Lyford Amy,Art & Art History,8,12,[Professor currently only has (12) advisees],
Krause Precious,[Diplomacy & World Affairs AND  Japanese AND  Politics],Mehl Lynn,Kinesiology,8,12,[Professor currently only has (12) advisees],
George Devon,[Chinese AND  Diplomacy & World Affairs AND  Group Language],Hebert Laura,Diplomacy & World Affairs,14,18,[The student wants to major in the advisor's department (Diplomacy & World Affairs);  Professor currently only has (18) advisees],
Davenport Zackery,[Diplomacy & World Affairs AND  Economics AND  Urban & Environmental Policy],Ashenmiller Bevin,Economics,10,14,[The student wants to major in the advisor's department (Economics);  Professor currently only has (14) advisees],
Lozano Mya,[Economics],Guillen Felisa,Spanish & French Studies,3,7,[Professor currently only has (7) advisees],
Kane Noe,[Diplomacy & World Affairs],Horowitz Maryanne,History,9,13,[Professor currently only has (13) advisees],
Snyder Kaleigh,[Cognitive Science AND  Theater],Sherman Aleksandra,Cognitive Science,17,19,[The student wants to major in the advisor's department (Cognitive Science)],
Guerra Tanya,[Biology],Chase Anthony,Diplomacy & World Affairs,17,19,Randomly matched,
Valdez Cheyanne,[History],Piscopo Jennifer,Politics,1,4,[Professor currently only has (4) advisees],
Esparza Cesar,[Critical Theory & Social Justice AND  Philosophy AND  Psychology],Stone Marla,History,3,6,[Professor currently only has (6) advisees],
Middleton Kamden,[Diplomacy & World Affairs AND  Politics AND  Russian],Tahani-Madain Amy,English,1,5,[Professor currently only has (5) advisees],
Stein Lilianna,[Critical Theory & Social Justice AND  Media Arts & Culture AND  Politics],Wyatt Jean,English,7,10,[Professor currently only has (10) advisees],
Briggs Ingrid,[Diplomacy & World Affairs AND  Politics],Cortes Juvenal,Diplomacy & World Affairs,8,12,[The student wants to major in the advisor's department (Diplomacy & World Affairs);  Professor currently only has (12) advisees],
Stanley Jaden,[Politics AND  Spanish AND  Urban & Environmental Policy],Upson-Saia Kristi,Religious Studies,13,17,[Professor currently only has (17) advisees],
Bolton Aliza,[Economics],Lorenz Shanna,Music,6,10,[Professor currently only has (10) advisees],
King Abdullah,[Media Arts & Culture],Schmiedeshoff George,Physics,10,14,[Professor currently only has (14) advisees],
Owen Charlie,[Undecided AND  Biology AND  Politics],Gratch Susan,Theater,9,13,[Professor currently only has (13) advisees],
Hatfield Corey,[Biochemistry AND  Biology AND  Kinesiology],Thompson Kerry,Biology,4,8,[The student wants to major in the advisor's department (Biology);  Professor currently only has (8) advisees],
Pacheco Kaya,[Diplomacy & World Affairs AND  Economics AND  Sociology],Sousa Lisa,History,7,11,[Professor currently only has (11) advisees],
Underwood Ana,[English AND  Theater],Fernandez Salvador,Spanish & French Studies,11,15,[Professor currently only has (15) advisees],
Trujillo Francisco,[Undecided],Heffernan Mary Beth,Art & Art History,8,12,[Professor currently only has (12) advisees],
Bowman Bria,[Economics AND  History],Lengyel Tamas,Mathematics,14,18,[Professor currently only has (18) advisees],
Haney Chloe,[Critical Theory & Social Justice AND  Economics AND  Psychology],Levitan Carmel,Cognitive Science,14,18,[Professor currently only has (18) advisees],
Braun Jaime,[Diplomacy & World Affairs AND  Group Language AND  Politics],Miller Jeffrey,Computer Science,9,13,[Professor currently only has (13) advisees],
Wang Felipe,[Biology AND  Psychology AND  Sociology],Sousa Lisa,History,7,11,[Professor currently only has (11) advisees],
Peters Kendal,[Biology],de Fren Allison,Media Arts & Culture,12,16,[Professor currently only has (16) advisees],
Woodard Ivan,[Undecided AND  Biology AND  Chemistry],North Gretchen,Biology,13,17,[The student wants to major in the advisor's department (Biology);  Professor currently only has (17) advisees],
Johnston Kaylyn,[Undecided AND  Physics AND  Politics],Braker H. Elizabeth,Biology,15,19,Randomly matched,
Clarke Paulina,[Diplomacy & World Affairs AND  Economics AND  Mathematics],Piscopo Jennifer,Politics,1,4,[Professor currently only has (4) advisees],
Chaney Urijah,[Biology],Fernandez Salvador,Spanish & French Studies,11,15,[Professor currently only has (15) advisees],
Pugh Meredith,[Mathematics AND  Sociology],Daigle Gerald,Mathematics,15,19,[The student wants to major in the advisor's department (Mathematics)],
Hodge Hudson,[English AND  Psychology],Thompson Kerry,Biology,4,8,[Professor currently only has (8) advisees],
Edwards Kayla,[Politics AND  Urban & Environmental Policy],Littlejohn Krystale,Sociology,9,13,[Professor currently only has (13) advisees],
Carrillo Theodore,[Undecided],Upson-Saia Kristi,Religious Studies,13,17,[Professor currently only has (17) advisees],
Lopez Erik,[Economics AND  Kinesiology AND  Mathematics],Mora Jesse,Economics,11,15,[The student wants to major in the advisor's department (Economics);  Professor currently only has (15) advisees],
Brady Ruby,[Psychology],Schell Anne,Psychology,1,4,[The student wants to major in the advisor's department (Psychology);  Professor currently only has (4) advisees],
Jefferson Matilda,[Undecided AND  Diplomacy & World Affairs AND  Urban & Environmental Policy],Jalil Andrew,Economics,14,18,[Professor currently only has (18) advisees],
Herrera Izaiah,[Biochemistry AND  Biology AND  Chemistry],Shtulman Andrew,Psychology,14,18,[Professor currently only has (18) advisees],
Ball Yael,[Biochemistry AND  Mathematics AND  Media Arts & Culture],Shelton Michael,Spanish & French Studies,9,12,[Professor currently only has (12) advisees],
Blevins Ivy,[Diplomacy & World Affairs AND  Kinesiology AND  Psychology],Mehl Lynn,Kinesiology,8,12,[The student wants to major in the advisor's department (Kinesiology);  Professor currently only has (12) advisees],
Farley Caden,[Critical Theory & Social Justice AND  Diplomacy & World Affairs AND  Urban & Environmental Policy],Guillen Felisa,Spanish & French Studies,3,7,[Professor currently only has (7) advisees],
Valentine Nehemiah,[Diplomacy & World Affairs AND  Politics AND  Sociology],Hong Jane,History,7,11,[Professor currently only has (11) advisees],
Alexander Jordyn,[Critical Theory & Social Justice AND  Diplomacy & World Affairs AND  Politics],Rugg Stuart,Kinesiology,12,15,[Professor currently only has (15) advisees],
Weiss Barbara,[Art & Art History AND  Japanese AND  Media Arts & Culture],Schoenberg Adam,Music,10,13,[Professor currently only has (13) advisees],
Forbes Madeleine,[Biology],Elsayed Hanan,Spanish & French Studies,7,11,[Professor currently only has (11) advisees],
House Zander,[Biology AND  Psychology],Larsen Darren,Geology,3,6,[Professor currently only has (6) advisees],
Norman Molly,[Art & Art History AND  English AND  Psychology],Dess Nancy,Psychology,13,17,[The student wants to major in the advisor's department (Psychology);  Professor currently only has (17) advisees],
Fitzgerald Angela,[Diplomacy & World Affairs AND  Economics],Chapman Clinton,Psychology,4,8,[Professor currently only has (8) advisees],
Walsh Cohen,[Chemistry AND  Music],Udit Andrew,Chemistry,10,14,[The student wants to major in the advisor's department (Chemistry);  Professor currently only has (14) advisees],
Daugherty Johan,[Diplomacy & World Affairs AND  French AND  Media Arts & Culture],Reddy Movindri,Diplomacy & World Affairs,15,19,[The student wants to major in the advisor's department (Diplomacy & World Affairs)],
Shelton Jovan,[Cognitive Science AND  Economics AND  Kinesiology],Levitan Carmel,Cognitive Science,14,18,[The student wants to major in the advisor's department (Cognitive Science);  Professor currently only has (18) advisees],
Francis Hannah,[Critical Theory & Social Justice AND  Politics AND  Sociology],Griffin G.,Critical Theory & Social Justice,6,10,[The student wants to major in the advisor's department (Critical Theory & Social Justice);  Professor currently only has (10) advisees],
Maynard Cheyenne,[Biology AND  Kinesiology],Parks Virginia,Urban & Environmental Policy,10,14,[Professor currently only has (14) advisees],
Waters Alyssa,[Kinesiology],Saint-Aubin Arthur,Spanish & French Studies,3,7,[Professor currently only has (7) advisees],
Beltran Anika,[Physics],Nersissian Aram,Chemistry,9,13,[Professor currently only has (13) advisees],
Frey Aedan,[Undecided AND  Biology AND  Mathematics],Yin Xiao-huang,American Studies,9,12,[Professor currently only has (12) advisees],
Mathis Jadiel,[Diplomacy & World Affairs AND  Politics AND  Spanish],Schindelman Gary,Biology,11,14,[Professor currently only has (14) advisees],
Hoffman Maurice,[Diplomacy & World Affairs AND  History],Schindelman Gary,Biology,11,14,[Professor currently only has (14) advisees],
Mason Morgan,[Undecided AND  Diplomacy & World Affairs AND  Economics],Ball Erica,American Studies,1,5,[Professor currently only has (5) advisees],
Cross Riya,[East Asian Studies AND  Japanese AND  Mathematics],Day Alexander,History,10,14,[Professor currently only has (14) advisees],
Cummings Chandler,[History AND  Media Arts & Culture],Laskin Ari,Media Arts & Culture,13,17,[The student wants to major in the advisor's department (Media Arts & Culture);  Professor currently only has (17) advisees],
Patterson Elliott,[Japanese AND  Mathematics AND  Physics],Tinberg Nalsey,Mathematics,14,18,[The student wants to major in the advisor's department (Mathematics);  Professor currently only has (18) advisees],
Lowe Colton,[Diplomacy & World Affairs AND  Politics],Reddy Movindri,Diplomacy & World Affairs,15,19,[The student wants to major in the advisor's department (Diplomacy & World Affairs)],
Alvarado Colten,[Diplomacy & World Affairs AND  Geology AND  Spanish],Wyatt Jean,English,7,10,[Professor currently only has (10) advisees],
Spears Lexi,[Diplomacy & World Affairs AND  Economics],Hill Michael,Chemistry,11,15,[Professor currently only has (15) advisees],
